#Lumen volume (um^3)	#Lumen radius (um) - from volume, assuming spherical lumens	#Total apical surface area (um^2)	#Number of cells	Apical surface area/ cell (um^2)
3688.44	9.584836403	1655.88	13	127.3753846
4232.34	10.03453641	1662.71	14	118.765
742.469	5.617329578	473.432	9	52.60355556
1469.03	7.052027846	763.049	10	76.3049
3641.95	9.544396144	1320.85	14	94.34642857
5505.11	10.95365683	1866.35	11	169.6681818
4160.09	9.977108742	1478.31	14	105.5935714
5025.95	10.62616409	1728.33	17	101.6664706
5.63403	1.103850305	26.8921	5	5.37842
1061.56	6.328274543	814.098	11	74.00890909
2489.4	8.407535156	1160.65	12	96.72083333
3616.58	9.522182241	1420.46	14	101.4614286
44363.6	21.96069383	8055.06	99	81.36424242
46400.6	22.2917927	8137.39	105	77.49895238
75990.7	26.27588053	10294.1	127	81.05590551
88919.8	27.68874612	11893.4	133	89.42406015
5547.73	10.98185156	1947.84	29	67.16689655
70166.4	25.5866559	10718	124	86.43548387
761835	56.65750389	51108.8	472	108.2813559
264397	39.81584814	24562.8	174	141.1655172
121903	30.75921597	14657.6	127	115.4141732
984535	61.71359558	65234.7	555	117.54
163942	33.95214418	17421.7	176	98.98693182
1023960	62.52659717	66950.1	561	119.3406417
572510	51.51078352	46368.9	438	105.8650685
9110.27	12.95629655	2598.02	26	99.92384615
736518	56.02281389	53633.6	455	117.876044
630292	53.18849826	45968.4	444	103.5324324
238529	38.47253996	23570.9	206	114.4218447
746154	56.266075	48700	374	130.2139037
1308.56	6.785288904	876.646	15	58.44306667
919.309	6.031948629	749.683	14	53.54878571
5033.48	10.63146824	1727.9	17	101.6411765
3988.82	9.838267116	1772.69	20	88.6345
9225.62	13.01074957	2572.76	26	98.95230769
942.335	6.081894806	645.416	5	129.0832
235.301	3.829820221	265.479	7	37.92557143
2127.6	7.978730404	1048.5	10	104.85
231.631	3.809804504	287.998	11	26.18163636
9689.15	13.22510179	2723.77	19	143.3563158
82.2071	2.69736824	96.2394	16	6.0149625
423.185	4.657439464	334.853	15	22.32353333
495.853	4.910074842	489.371	11	44.48827273
570.154	5.14400271	593.297	9	65.92188889
323.342	4.257857968	396.217	7	56.60242857
18.9124	1.65279635	39.5781	9	4.397566667
4692.05	10.38543457	1597.22	18	88.73444444
491.361	4.89520283	369.344	9	41.03822222
694.586	5.493879616	599.901	19	31.57373684
357.726	4.403729478	347.402	20	17.3701
748.281	5.631948864	569.814	11	51.80127273
53.3089	2.334732008	24.8534	5	4.97068
282.095	4.068511923	336.404	9	37.37822222
1759.04	7.488514965	871.582	17	51.26952941
1095.01	6.394056831	678.401	15	45.22673333
541.205	5.055425681	484.707	12	40.39225
5723.56	11.09666675	1889.47	13	145.3438462
397.474	4.561139678	427.601	10	42.7601
3387.31	9.316556991	1575.42	18	87.52333333
5383.52	10.87241215	1953.14	19	102.7968421
573.52	5.154105683	555.397	11	50.49063636
19820.8	16.78845986	5372.83	56	95.94339286
20024.7	16.84583217	5517.56	57	96.79929825
142015	32.36546639	18070.7	171	105.6766082
2656.05	8.591108667	1515.23	40	37.88075
9767.5	13.2606538	3442.04	39	88.2574359
25943.2	18.36446629	6374.12	65	98.06338462
39821.9	21.18415389	7257.71	95	76.39694737
13591.9	14.80461736	3552.02	44	80.72772727
2097.98	7.94153117	1351.77	45	30.03933333
3885.43	9.752519483	1709.61	37	46.20567568
14052.7	14.97006624	4210.92	41	102.7053659
4693.96	10.38684359	2191.29	34	64.44970588
44219.2	21.93684116	7966	84	94.83333333
13324.9	14.70703468	3806.4	40	95.16
32673	19.83201312	7281.75	90	80.90833333
20436.5	16.96052547	4695.48	36	130.43
10570.5	13.61451915	2956.73	42	70.39833333
29030.1	19.06572425	6390.99	77	82.99987013
51475.8	23.0765828	10078.2	119	84.6907563
18750.3	16.48060702	4929.79	62	79.51274194
143902	32.50818632	16655.9	133	125.2323308
278374	40.50543994	26125.3	278	93.97589928
644838	53.59455521	46000	322	142.8571429
90095.2	27.81021511	11966.7	102	117.3205882
249807	39.06957301	22884.7	186	123.0360215
561642	51.18275466	41512	416	99.78846154
530396	50.21543281	39860	335	118.9850746
124338	30.96267133	14814.2	116	127.7086207
145249	32.60930283	19923.8	220	90.56272727
228368	37.91830187	32419.8	304	106.6440789
231482	38.08987425	25548.2	230	111.0791304
198350	36.1782758	20119.4	167	120.4754491
467073	48.13179421	38960.5	368	105.8709239
125804	31.08388405	16507.5	160	103.171875
949075	60.96360513	77630.8	665	116.7380451
277367	40.45653899	28667.3	262	109.4171756
490185	48.91294395	40878.9	271	150.8446494
581224	51.77081198	48896.7	434	112.6652074
141017	32.28947278	24713.7	249	99.25180723
839832	58.52857311	64470.9	352	183.1559659
